x;type
158883629.L_Antecubital fossa;L_Antecubital fossa
158924089.L_Antecubital fossa;L_Antecubital fossa
158964549.L_Antecubital fossa;L_Antecubital fossa
159005010.L_Antecubital fossa;L_Antecubital fossa
159025240.L_Antecubital fossa;L_Antecubital fossa
159085930.L_Antecubital fossa;L_Antecubital fossa
159146620.L_Antecubital fossa;L_Antecubital fossa
159166850.L_Antecubital fossa;L_Antecubital fossa
159227541.L_Antecubital fossa;L_Antecubital fossa
159247771.L_Antecubital fossa;L_Antecubital fossa
159389382.L_Antecubital fossa;L_Antecubital fossa
159470302.L_Antecubital fossa;L_Antecubital fossa
159713063.L_Antecubital fossa;L_Antecubital fossa
159733294.L_Antecubital fossa;L_Antecubital fossa
160825720.L_Antecubital fossa;L_Antecubital fossa
160866180.L_Antecubital fossa;L_Antecubital fossa
160886410.L_Antecubital fossa;L_Antecubital fossa
160906640.L_Antecubital fossa;L_Antecubital fossa
160947100.L_Antecubital fossa;L_Antecubital fossa
160967330.L_Antecubital fossa;L_Antecubital fossa
160987560.L_Antecubital fossa;L_Antecubital fossa
161007791.L_Antecubital fossa;L_Antecubital fossa
161270782.L_Antecubital fossa;L_Antecubital fossa
161311242.L_Antecubital fossa;L_Antecubital fossa
161351702.L_Antecubital fossa;L_Antecubital fossa
161412393.L_Antecubital fossa;L_Antecubital fossa
161473083.L_Antecubital fossa;L_Antecubital fossa
161554003.L_Antecubital fossa;L_Antecubital fossa
178713055.L_Antecubital fossa;L_Antecubital fossa
184349034.L_Antecubital fossa;L_Antecubital fossa
208027353.L_Antecubital fossa;L_Antecubital fossa
246515023.L_Antecubital fossa;L_Antecubital fossa
256789458.L_Antecubital fossa;L_Antecubital fossa
275382046.L_Antecubital fossa;L_Antecubital fossa
338793263.L_Antecubital fossa;L_Antecubital fossa
355657046.L_Antecubital fossa;L_Antecubital fossa
368533040.L_Antecubital fossa;L_Antecubital fossa
370027359.L_Antecubital fossa;L_Antecubital fossa
370425937.L_Antecubital fossa;L_Antecubital fossa
375450439.L_Antecubital fossa;L_Antecubital fossa
404239096.L_Antecubital fossa;L_Antecubital fossa
414519462.L_Antecubital fossa;L_Antecubital fossa
465578759.L_Antecubital fossa;L_Antecubital fossa
492786515.L_Antecubital fossa;L_Antecubital fossa
516889361.L_Antecubital fossa;L_Antecubital fossa
517810313.L_Antecubital fossa;L_Antecubital fossa
550534656.L_Antecubital fossa;L_Antecubital fossa
553359145.L_Antecubital fossa;L_Antecubital fossa
604812005.L_Antecubital fossa;L_Antecubital fossa
612472597.L_Antecubital fossa;L_Antecubital fossa
638754422.L_Antecubital fossa;L_Antecubital fossa
643185023.L_Antecubital fossa;L_Antecubital fossa
650853796.L_Antecubital fossa;L_Antecubital fossa
658594300.L_Antecubital fossa;L_Antecubital fossa
663835652.L_Antecubital fossa;L_Antecubital fossa
668248235.L_Antecubital fossa;L_Antecubital fossa
682102541.L_Antecubital fossa;L_Antecubital fossa
682449369.L_Antecubital fossa;L_Antecubital fossa
686765762.L_Antecubital fossa;L_Antecubital fossa
739574095.L_Antecubital fossa;L_Antecubital fossa
763395383.L_Antecubital fossa;L_Antecubital fossa
763476303.L_Antecubital fossa;L_Antecubital fossa
763516763.L_Antecubital fossa;L_Antecubital fossa
763536994.L_Antecubital fossa;L_Antecubital fossa
763597684.L_Antecubital fossa;L_Antecubital fossa
763638144.L_Antecubital fossa;L_Antecubital fossa
763678604.L_Antecubital fossa;L_Antecubital fossa
763698834.L_Antecubital fossa;L_Antecubital fossa
763719065.L_Antecubital fossa;L_Antecubital fossa
763759525.L_Antecubital fossa;L_Antecubital fossa
763840445.L_Antecubital fossa;L_Antecubital fossa
763860675.L_Antecubital fossa;L_Antecubital fossa
763880905.L_Antecubital fossa;L_Antecubital fossa
763901136.L_Antecubital fossa;L_Antecubital fossa
763921366.L_Antecubital fossa;L_Antecubital fossa
763982056.L_Antecubital fossa;L_Antecubital fossa
764002286.L_Antecubital fossa;L_Antecubital fossa
764042746.L_Antecubital fossa;L_Antecubital fossa
764062976.L_Antecubital fossa;L_Antecubital fossa
764083206.L_Antecubital fossa;L_Antecubital fossa
764143897.L_Antecubital fossa;L_Antecubital fossa
764184357.L_Antecubital fossa;L_Antecubital fossa
764224817.L_Antecubital fossa;L_Antecubital fossa
764305738.L_Antecubital fossa;L_Antecubital fossa
764325968.L_Antecubital fossa;L_Antecubital fossa
764346198.L_Antecubital fossa;L_Antecubital fossa
764366428.L_Antecubital fossa;L_Antecubital fossa
764467579.L_Antecubital fossa;L_Antecubital fossa
764487809.L_Antecubital fossa;L_Antecubital fossa
764508039.L_Antecubital fossa;L_Antecubital fossa
764588959.L_Antecubital fossa;L_Antecubital fossa
764649650.L_Antecubital fossa;L_Antecubital fossa
